Year,Fahrenheit High Temp,Fahrenheit Min Temp,Precipitation,Snow,White Christmas,Celcius Min Temp,Celcius High Temp
1871,,,0,,Not Defined,,
1872,20,4,0,,Not Defined,-15.6,-6.7
1873,38,33,0,,Not Defined,0.6,3.3
1874,43,23,0,,Not Defined,-5.0,6.1
1875,43,30,0,,Not Defined,-1.1,6.1
1876,28,21,0.03,,Not Defined,-6.1,-2.2
1877,50,42,0.34,,Not Defined,5.6,10.0
1878,15,3,0,,Not Defined,-16.1,-9.4
1879,15,2,0.34,,Not Defined,-16.7,-9.4
1880,34,28,0.01,,Not Defined,-2.2,1.1
1881,44,35,0,,Not Defined,1.7,6.7
1882,40,33,0.22,,Not Defined,0.6,4.4
1883,32,24,0,,Not Defined,-4.4,0.0
1884,18,8,0.11,1.4,TRUE,-13.3,-7.8
1885,37,30,0.02,,Not Defined,-1.1,2.8
1886,35,18,0.17,1.9,TRUE,-7.8,1.7
1887,23,14,,,Not Defined,-10.0,-5.0
1888,39,35,0.02,0,FALSE,1.7,3.9
1889,47,33,0,0,FALSE,0.6,8.3
1890,28,20,0,0,FALSE,-6.7,-2.2
1891,52,34,,0,FALSE,1.1,11.1
1892,10,-2,0.03,0.3,TRUE,-18.9,-12.2
1893,52,30,0.03,,Not Defined,-1.1,11.1
1894,31,24,0,0,FALSE,-4.4,-0.6
1895,56,33,0,0,FALSE,0.6,13.3
1896,31,15,0,0,FALSE,-9.4,-0.6
1897,32,18,0,,Not Defined,-7.8,0.0
1898,29,26,0.05,,Not Defined,-3.3,-1.7
1899,15,6,0,,Not Defined,-14.4,-9.4
1900,18,12,,,Not Defined,-11.1,-7.8
1901,35,29,0.16,0,FALSE,-1.7,1.7
1902,10,5,,,Not Defined,-15.0,-12.2
1903,23,-3,0.26,3.2,TRUE,-19.4,-5.0
1904,29,25,0.01,,Not Defined,-3.9,-1.7
1905,34,24,,,Not Defined,-4.4,1.1
1906,34,26,0,0,FALSE,-3.3,1.1
1907,39,31,,,Not Defined,-0.6,3.9
1908,35,27,0,0,FALSE,-2.8,1.7
1909,31,23,0.5,5,TRUE,-5.0,-0.6
1910,32,13,0.03,0.3,TRUE,-10.6,0.0
1911,37,32,0,0,FALSE,0.0,2.8
1912,43,32,0,0,FALSE,0.0,6.1
1913,38,34,0,0,FALSE,1.1,3.3
1914,16,-1,,,Not Defined,-18.3,-8.9
